full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,71119,71119,11564,135,135,15,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9549,9549,14690,7,7,-5,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,40247,40247,6583,162,162,21,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1660,1660,2538,3,3,2,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,50089,50089,4365,77,77,3,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62652,62652,6263,59,59,0,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,29547,29547,3243,55,55,6,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,35817,35817,2956,31,31,3,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,918,918,1219,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,23030,23030,3299,41,41,2,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23352,23352,2724,37,37,2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3255,3255,3824,0,0,-2,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2319,2319,3543,3,3,9,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8361,8361,1971,10,10,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11838,11838,2009,15,15,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3553,3553,1966,15,15,8,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1408,1408,2780,2,2,7,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,9742,9742,1213,-1,-1,-2,https://github.com/diet103/claude-code-infrastructure-showcase
ykdojo/claude-code-tips,9287,9287,734,39,39,3,https://github.com/ykdojo/claude-code-tips
frankbria/ralph-claude-code,9536,9536,727,0,0,1,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2757,2757,2431,2,2,2,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,3941,3941,795,10,10,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5991,5991,560,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13447,13447,1212,56,56,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,620,620,1306,1,1,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3882,3882,564,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5458,5458,718,13,13,7,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
zebbern/claude-code-guide,4407,4407,448,2,2,0,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3692,3692,481,0,0,0,https://github.com/1rgs/claude-code-proxy
nicedreamzapp/claude-code-local,2940,2940,562,-1,-1,0,https://github.com/nicedreamzapp/claude-code-local
anthropics/claude-code-security-review,5550,5550,594,7,7,3,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1670,1670,638,3,3,0,https://github.com/lorryjovens-hub/claude-code-rust
rohitg00/awesome-claude-code-toolkit,2322,2322,810,8,8,3,https://github.com/rohitg00/awesome-claude-code-toolkit
disler/claude-code-hooks-mastery,3830,3830,628,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
Windy3f3f3f3f/how-claude-code-works,3175,3175,671,12,12,3,https://github.com/Windy3f3f3f3f/how-claude-code-works
Maciek-roboblog/Claude-Code-Usage-Monitor,8449,8449,433,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
alejandrobalderas/claude-code-from-source,2719,2719,742,5,5,1,https://github.com/alejandrobalderas/claude-code-from-source
777genius/claude-code-source-code,919,919,1098,0,0,0,https://github.com/777genius/claude-code-source-code
affaan-m/ECC,230053,230053,35208,422,422,43,https://github.com/affaan-m/ECC
fuergaosi233/claude-code-proxy,2736,2736,406,3,3,1,https://github.com/fuergaosi233/claude-code-proxy
ding113/claude-code-hub,3245,3245,376,2,2,1,https://github.com/ding113/claude-code-hub
kodu-ai/claude-coder,5258,5258,198,1,1,0,https://github.com/kodu-ai/claude-coder
RichardAtCT/claude-code-telegram,2730,2730,401,-2,-2,0,https://github.com/RichardAtCT/claude-code-telegram
fazxes/Claude-code,225,225,215,0,0,-1,https://github.com/fazxes/Claude-code
Yuyz0112/claude-code-reverse,2399,2399,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
SeemSeam/claude_codex_bridge,3268,3268,318,6,6,1,https://github.com/SeemSeam/claude_codex_bridge
Cranot/claude-code-guide,2843,2843,320,0,0,0,https://github.com/Cranot/claude-code-guide
Windy3f3f3f3f/claude-code-from-scratch,2281,2281,485,11,11,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
luyao618/Claude-Code-Source-Study,1616,1616,555,5,5,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,2977,2977,289,4,4,0,https://github.com/Chachamaru127/claude-code-harness
multica-ai/andrej-karpathy-skills,192725,192725,19807,678,678,87,https://github.com/multica-ai/andrej-karpathy-skills
AprilNEA/claude-code-source,391,391,610,0,0,0,https://github.com/AprilNEA/claude-code-source
https-deeplearning-ai/sc-claude-code-files,533,533,810,0,0,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1158,1158,387,0,0,0,https://github.com/repowise-dev/claude-code-prompts
anthropics/claude-code-base-action,908,908,613,2,2,1,https://github.com/anthropics/claude-code-base-action
anthropics/skills,161405,161405,19070,297,297,45,https://github.com/anthropics/skills
guanshan/ClaudeCode,61,61,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,371,371,548,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1483,1483,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
huangjia2019/claude-code-engineering,980,980,353,4,4,3,https://github.com/huangjia2019/claude-code-engineering
carlvellotti/claude-code-pm-course,2137,2137,350,3,3,0,https://github.com/carlvellotti/claude-code-pm-course
jqueryscript/awesome-claude-code,467,467,457,0,0,1,https://github.com/jqueryscript/awesome-claude-code
Pimzino/claude-code-spec-workflow,3795,3795,265,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,37789,37789,3409,33,33,-2,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1497,1497,354,9,9,0,https://github.com/disler/pi-vs-claude-code
feiskyer/claude-code-settings,1593,1593,238,0,0,0,https://github.com/feiskyer/claude-code-settings
andrew-kramer-inno/claude-code-source-build,595,595,522,0,0,-1,https://github.com/andrew-kramer-inno/claude-code-source-build
darcyegb/ClaudeCodeAgents,748,748,70,1,1,1,https://github.com/darcyegb/ClaudeCodeAgents
AICoderTudou/claude-code-tudou,498,498,395,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
