full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,75986,75986,12237,123,123,12,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,52936,52936,8497,262,262,38,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9649,9649,14621,-1,-1,-4,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1776,1776,2600,5,5,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,53447,53447,4659,85,85,11,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65580,65580,6525,60,60,2,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30513,30513,3456,19,19,-1,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37048,37048,3114,20,20,6,https://github.com/musistudio/claude-code-router
Donchitos/Claude-Code-Game-Studios,24797,24797,3543,45,45,-1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,24833,24833,2875,38,38,4,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3293,3293,3812,1,1,-2,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8784,8784,2117,9,9,5,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2335,2335,3527,1,1,-1,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12567,12567,2045,20,20,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3885,3885,2057,11,11,4,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1554,1554,3002,6,6,10,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10027,10027,811,17,17,2,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10014,10014,1230,-2,-2,-1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9619,9619,721,5,5,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2820,2820,2456,3,3,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,792,792,1758,0,0,-1,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4163,4163,821,7,7,1,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15692,15692,1365,87,87,4,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6057,6057,573,4,4,2,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5881,5881,770,12,12,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,627,627,1305,0,0,0,https://github.com/huangserva/claude-code-cli
nicedreamzapp/claude-code-local,3256,3256,621,2,2,-1,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3891,3891,563,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6157,6157,671,15,15,3,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2584,2584,926,5,5,5,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4600,4600,462,2,2,0,https://github.com/zebbern/claude-code-guide
Windy3f3f3f3f/how-claude-code-works,3578,3578,703,7,7,3,https://github.com/Windy3f3f3f3f/how-claude-code-works
1rgs/claude-code-proxy,3742,3742,489,2,2,1,https://github.com/1rgs/claude-code-proxy
zstmfhy/Claude-code,189,189,282,-1,-1,0,https://github.com/zstmfhy/Claude-code
lorryjovens-hub/claude-code-rust,1662,1662,643,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
alejandrobalderas/claude-code-from-source,2789,2789,755,5,5,0,https://github.com/alejandrobalderas/claude-code-from-source
disler/claude-code-hooks-mastery,3907,3907,640,0,0,-2,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,8672,8672,458,4,4,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
777genius/claude-code-source-code,930,930,1091,0,0,0,https://github.com/777genius/claude-code-source-code
RichardAtCT/claude-code-telegram,2773,2773,416,1,1,-1,https://github.com/RichardAtCT/claude-code-telegram
fazxes/Claude-code,234,234,217,1,1,1,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,3345,3345,390,1,1,1,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2782,2782,413,0,0,1,https://github.com/fuergaosi233/claude-code-proxy
Yuyz0112/claude-code-reverse,2429,2429,413,0,0,-1,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5225,5225,199,-2,-2,0,https://github.com/kodu-ai/claude-coder
SeemSeam/claude_codex_bridge,3474,3474,342,3,3,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2634,2634,537,5,5,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2865,2865,318,0,0,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1691,1691,572,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3083,3083,302,4,4,0,https://github.com/Chachamaru127/claude-code-harness
asgeirtj/system_prompts_leaks,64098,64098,10517,114,114,15,https://github.com/asgeirtj/system_prompts_leaks
https-deeplearning-ai/sc-claude-code-files,545,545,832,0,0,-2,https://github.com/https-deeplearning-ai/sc-claude-code-files
affaan-m/ECC,246841,246841,37197,965,965,91,https://github.com/affaan-m/ECC
WorldFlowAI/everything-claude-code,1996,1996,327,48,48,7,https://github.com/WorldFlowAI/everything-claude-code
anthropics/claude-code-base-action,970,970,611,3,3,0,https://github.com/anthropics/claude-code-base-action
krusemediallc/arcads-claude-code,1464,1464,358,7,7,1,https://github.com/krusemediallc/arcads-claude-code
repowise-dev/claude-code-prompts,1201,1201,395,1,1,0,https://github.com/repowise-dev/claude-code-prompts
jqueryscript/awesome-claude-code,508,508,552,0,0,6,https://github.com/jqueryscript/awesome-claude-code
multica-ai/andrej-karpathy-skills,209841,209841,21340,392,392,25,https://github.com/multica-ai/andrej-karpathy-skills
AprilNEA/claude-code-source,392,392,606,0,0,-1,https://github.com/AprilNEA/claude-code-source
huangjia2019/claude-code-engineering,1095,1095,385,5,5,0,https://github.com/huangjia2019/claude-code-engineering
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,375,375,541,0,0,0,https://github.com/JrCx7scC/claude-code-source
Pimzino/claude-code-spec-workflow,3856,3856,279,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
disler/pi-vs-claude-code,1661,1661,386,1,1,1,https://github.com/disler/pi-vs-claude-code
edmund-io/edmunds-claude-code,1502,1502,281,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,38976,38976,3499,32,32,6,https://github.com/Yeachan-Heo/oh-my-claudecode
digitalsamba/claude-code-video-toolkit,2041,2041,348,5,5,0,https://github.com/digitalsamba/claude-code-video-toolkit
OrcaWhisper/Claude-Code,93,93,178,1,1,0,https://github.com/OrcaWhisper/Claude-Code
VILA-Lab/Dive-into-Claude-Code,2095,2095,319,6,6,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
feiskyer/claude-code-settings,1645,1645,244,1,1,-1,https://github.com/feiskyer/claude-code-settings
ccplugins/awesome-claude-code-plugins,931,931,442,1,1,8,https://github.com/ccplugins/awesome-claude-code-plugins
anthropics/skills,173494,173494,20592,421,421,46,https://github.com/anthropics/skills
xu-xiang/everything-claude-code-zh,1925,1925,314,2,2,1,https://github.com/xu-xiang/everything-claude-code-zh
andrew-kramer-inno/claude-code-source-build,596,596,510,1,1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,495,495,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
darcyegb/ClaudeCodeAgents,759,759,69,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2618,2618,246,3,3,0,https://github.com/centminmod/my-claude-code-setup
Njengah/claude-code-cheat-sheet,1914,1914,264,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
simonw/claude-code-transcripts,1682,1682,200,7,7,0,https://github.com/simonw/claude-code-transcripts
daymade/claude-code-skills,1374,1374,216,4,4,1,https://github.com/daymade/claude-code-skills
